anime_cast,anime_company,anime_name,anime_region,anime_status,anime_tag,anime_url,anime_view,anime_year
,OLM,钢铁天使胡桃,日本,完结,冒险|奇幻|童年|美少女|百合,http://www.dilidili.wang/anime/hutao/,正统日系基督宗教奇幻,2000年之前
,BONES|XEBEC,钢之炼金术师FA,日本,完结,热血|冒险|奇幻|励志|动作,http://www.dilidili.wang/anime/hagaren2/,寻找贤者之石的旅程,2010年之前
,,高达创战者TRY 岛上热战,日本,连载,机战|热血|冒险|奇幻,http://www.dilidili.wang/anime/kantancdzrbz/,TRY FIGHTERS的战斗，现在开始！,2016年7月
大川透|大塚明夫|家中宏|林原惠美|山寺宏一|田中敦子|小山力也|玉川纱己子,Production I.G|XEBEC|吉卜力工作室,攻壳机动队 第二季,日本,完结,科幻,http://www.dilidili.wang/anime/gkjdd2wz/,Duang~Duang~,2010年之前
,,钢铁侠,日本,完结,科幻,http://www.dilidili.wang/anime/gangtiesia/,动画版的钢铁侠,2010年10月
新谷良子,,公主请小心,日本,完结,搞笑|冒险,http://www.dilidili.wang/anime/gongzqxx/,哪怕低头都不掉的皇冠,2010年之前
山寺宏一|绪方贤一,日昇动画,光能使者,日本,完结,热血|童年,http://www.dilidili.wang/anime/gnszgy/,儿时经典补档系列,2000年之前
宫田幸季|关智一|小杉十郎太|雪野五月|柚木凉香,,高校女忍者,日本,完结,奇幻|美少女|动作,http://www.dilidili.wang/anime/SAMURAI-GIRL/,热血女子高生的异界格斗,2010年之前
川澄绫子|福井裕佳梨|松冈由贵|折笠富美子,GAINAX,公主候补生佑希,日本,完结,恋爱|美少女|乙女,http://www.dilidili.wang/anime/Petite/,萝莉魔法少女的日常,2010年之前
皆川纯子|青野武|山崎和佳奈|上田佑司|石冢运升,TMS娱乐,格斗美神武龙,日本,完结,热血|美少女|动作,http://www.dilidili.wang/anime/gdmswl/,必看的美少女格斗动作作品,2010年之前
二又一成|堀内贤雄|藤原启治|小杉十郎太|绪方惠美|一条和矢|佐佐木望,TMS娱乐,钢铁神兵,日本,完结,机战|热血|奇幻,http://www.dilidili.wang/anime/Battler/,大战血饲机械兽,2000年之前
,,怪物猎人日记,日本,完结,搞笑|游戏|泡面番,http://www.dilidili.wang/anime/gwlrrj/,怪物猎人日记,2010年4月
,STUDIO DEEN,公主公主,日本,完结,搞笑|耽美|恋爱|乙女,http://www.dilidili.wang/anime/gongzhugongzhu/,男校被称之为“姫”的制度，就是在校内活动之中必须要在只有男生的男子学校中挑选出一些天生丽致的学生扮演女生的制度。而且，衣服将是LOLI装。,
皆川纯子|青野武|山崎和佳奈|上田佑司|石冢运升,,格斗美神武龙 第二季,日本,完结,热血|动作,http://www.dilidili.wang/anime/gdmswl2/,必看的美少女格斗动作作品,2010年之前
藤原启治|绪方惠美|一条和矢,,钢铁神兵第二季,日本,完结,机战|热血|奇幻,http://www.dilidili.wang/anime/Battler2/,大战血饲机械兽,2000年之前
大坪由佳|大桥彩香|寿美菜子,C2C,GO!GO!575,日本,完结,治愈系|游戏|美少女|百合|泡面番,http://www.dilidili.wang/anime/gogo575/,普通的女子高中生正冈小豆和小林抹茶每天过着平凡的日常生活。,2014年7月
竹本英史,ARTLAND,搞笑漫画日和,日本,完结,搞笑,http://www.dilidili.wang/anime/gxmhrh/,笑死宝宝了,2010年之前
,,高机动幻想第二季,日本,完结,科幻|机战|恋爱,http://www.dilidili.wang/anime/Gunparade2/,仗要打，恋爱也要谈,2010年之前
白石凉子|川澄绫子|户松遥|钉宫理惠|千叶纱子|喜多村英梨|斋藤千和,,钢铁新娘,日本,完结,搞笑|后宫,http://www.dilidili.wang/anime/keimekooyome/,爱宛如繁星，盛开在心间的种子里,2010年之前
,,盖亚奥特曼,日本,完结,科幻|真人|童年|动作,http://www.dilidili.wang/anime/gyatm/,盖亚奥特曼,
高垣彩阳|谷山纪章|冈本信彦|中原麻衣|子安武人,ZEXCS,钢壳都市雷吉欧斯,日本,完结,科幻|热血|轻小说|后宫|动作,http://www.dilidili.wang/anime/hanenotregios/,然而，除了学生会长以外，并没有人知道这位来自钢壳都市古莲丹的少年有着怎样的过去,
冈村明美|石田彰,,高机动幻想,日本,完结,科幻|机战|恋爱,http://www.dilidili.wang/anime/Gunparade/,仗要打，恋爱也要谈,2010年之前
,,怪盗丽奈,日本,完结,搞笑|泡面番,http://www.dilidili.wang/anime/gwnli/,本作就是由这些人编织而成的怪盗戏剧。,2010年10月
村濑步|齐藤壮马|松冈祯丞|下野纮|小林由美子|泽城美雪,SHIN-EI,怪盗Joker第三季,日本,完结,冒险,http://www.dilidili.wang/anime/jokerdsj/,最强的怪盗joker还有女怪盗女王,2016年4月
矶部勉|木内秀信|能登麻美子|小山茉美|竹内顺子|佐佐木望,MADHOUSE,MONSTER,日本,完结,推理|冒险,http://www.dilidili.wang/anime/monster/,怪物诞生记,2010年之前
